Code secteur;Libelle secteur;Code site;Libelle site;Code batiment;Libelle batiment;Lattitude/longitude;Adresse numero;Adresse rue;Adresse code postal;Adresse ville;Code salle;Libellé salle;Numero piece
5;BORDEAUX ;24;LA VICTOIRE;AE;Bâtiment AE;44.831316/-0.570209;3 ter;place de la Victoire;33076;BORDEAUX;302;Salle de cours;
12;MERIGNAC;18;INSPE MERIGNAC;E;Bâtiment E;44.838471/-0.630325;160;avenue de Verdun;33700;MERIGNAC;302;Salle de cours;302
5;BORDEAUX ;24;LA VICTOIRE;B2;Bâtiment Broca 2;44.831614/-0.571491;18  34;Paul Broca;33076;BORDEAUX;302;Salle de cours;0
5;BORDEAUX ;24;LA VICTOIRE;G;Bâtiment G;44.831193/-0.570374;3 ter;place de la Victoire;33076;BORDEAUX;302;Salle de cours;
8;GRADIGNAN;5;ROCQUENCOURT;E06;Bâtiment 6AB MP;44.790756/-0.611779;15;rue Naudet;33175;GRADIGNAN;302;Salle informatique;302
5;BORDEAUX ;16;INSPE CAUDERAN;C;Bâtiment Condorcet (bat 5);44.847846/-0.600809;49;rue de l'école Normale;33000;BORDEAUX;303;Salle informatique;532
17;TALENCE;1;PEIXOTTO;A01;Bâtiment A01;44.808524/-0.592029;351;cours de la libération;33405;TALENCE;303;Salle TP;
15;PERIGUEUX;22;CAMPUS PERIGORD;B;Bâtiment B;45.196442/0.720017;39;rue Paul Mazy;24019;PERIGUEUX;303;Salle de cours;
8;GRADIGNAN;5;ROCQUENCOURT;E09A;Bâtiment 9A INFO/HSE;44.791138/-0.608712;15;rue Naudet;33175;GRADIGNAN;303;Salle informatique;
12;MERIGNAC;18;INSPE MERIGNAC;E;Bâtiment E;44.838471/-0.630325;160;avenue de Verdun;33700;MERIGNAC;303;Salle de cours;303
5;BORDEAUX ;24;LA VICTOIRE;AE;Bâtiment AE;44.831316/-0.570209;3 ter;place de la Victoire;33076;BORDEAUX;303;Salle de cours;
5;BORDEAUX ;24;LA VICTOIRE;AE;Bâtiment AE;44.831316/-0.570209;3 ter;place de la Victoire;33076;BORDEAUX;304;Amphithéâtre;
17;TALENCE;1;PEIXOTTO;A01;Bâtiment A01;44.808524/-0.592029;351;cours de la libération;33405;TALENCE;304;Salle TP;
8;GRADIGNAN;5;ROCQUENCOURT;E06;Bâtiment 6AB MP;44.790756/-0.611779;15;rue Naudet;33175;GRADIGNAN;304;Salle informatique;304
15;PERIGUEUX;22;CAMPUS PERIGORD;B;Bâtiment B;45.196442/0.720017;39;rue Paul Mazy;24019;PERIGUEUX;304;Salle de cours;302
12;MERIGNAC;18;INSPE MERIGNAC;E;Bâtiment E;44.838471/-0.630325;160;avenue de Verdun;33700;MERIGNAC;304;Salle de cours;304
5;BORDEAUX ;24;LA VICTOIRE;AE;Bâtiment AE;44.831316/-0.570209;3 ter;place de la Victoire;33076;BORDEAUX;305;Salle de cours;
8;GRADIGNAN;5;ROCQUENCOURT;E06;Bâtiment 6AB MP;44.790756/-0.611779;15;rue Naudet;33175;GRADIGNAN;305;Salle informatique;305
12;MERIGNAC;18;INSPE MERIGNAC;E;Bâtiment E;44.838471/-0.630325;160;avenue de Verdun;33700;MERIGNAC;305;Salle de cours;305
15;PERIGUEUX;22;CAMPUS PERIGORD;B;Bâtiment B;45.196442/0.720017;39;rue Paul Mazy;24019;PERIGUEUX;305;Salle de cours;301
15;PERIGUEUX;22;CAMPUS PERIGORD;B;Bâtiment B;45.196442/0.720017;39;rue Paul Mazy;24019;PERIGUEUX;306;Salle TP;
8;GRADIGNAN;5;ROCQUENCOURT;E06;Bâtiment 6AB MP;44.790756/-0.611779;15;rue Naudet;33175;GRADIGNAN;306;Salle informatique;306
17;TALENCE;1;PEIXOTTO;A22;Bâtiment A22;44.807202/-0.598968;351;cours de la libération;33405;TALENCE;306;Salle TP;306
5;BORDEAUX ;23;CARREIRE;218;Pharma 1;44.826435/-0.605938;146;Léo Saignat;33076;BORDEAUX;306;Salle TP;
12;MERIGNAC;18;INSPE MERIGNAC;E;Bâtiment E;44.838471/-0.630325;160;avenue de Verdun;33700;MERIGNAC;306;Salle TP;306
5;BORDEAUX ;24;LA VICTOIRE;AE;Bâtiment AE;44.831316/-0.570209;3 ter;place de la Victoire;33076;BORDEAUX;306;Salle de cours;
17;TALENCE;2;BORDES;IOA;Bâtiment IOA;44.804898/-0.605185;;François Mitterand;33400;TALENCE;306+307;Salle de cours;
5;BORDEAUX ;17;PEY-BERLAND;B1;Bâtiment Pey Berland;44.837137/-0.578111;35;place Pey Berland;33076;BORDEAUX;307;Salle de cours;
8;GRADIGNAN;5;ROCQUENCOURT;E09A;Bâtiment 9A INFO/HSE;44.791138/-0.608712;15;rue Naudet;33175;GRADIGNAN;307;Salle informatique;
8;GRADIGNAN;5;ROCQUENCOURT;E06;Bâtiment 6AB MP;44.790756/-0.611779;15;rue Naudet;33175;GRADIGNAN;307;Salle TD;307
12;MERIGNAC;18;INSPE MERIGNAC;E;Bâtiment E;44.838471/-0.630325;160;avenue de Verdun;33700;MERIGNAC;307;Salle TP;307
17;TALENCE;1;PEIXOTTO;A21;Bâtiment A21;44.806464/-0.597934;351;cours de la libération;33405;TALENCE;307;Salle de cours;308
5;BORDEAUX ;24;LA VICTOIRE;AE;Bâtiment AE;44.831316/-0.570209;3 ter;place de la Victoire;33076;BORDEAUX;307;Salle de cours;
5;BORDEAUX ;23;CARREIRE;218;Pharma 1;44.826435/-0.605938;146;Léo Saignat;33076;BORDEAUX;308;Salle TP;
5;BORDEAUX ;24;LA VICTOIRE;AE;Bâtiment AE;44.831316/-0.570209;3 ter;place de la Victoire;33076;BORDEAUX;308;Salle de cours;
15;PERIGUEUX;22;CAMPUS PERIGORD;B;Bâtiment B;45.196442/0.720017;39;rue Paul Mazy;24019;PERIGUEUX;308;Salle TP;
8;GRADIGNAN;5;ROCQUENCOURT;E06;Bâtiment 6AB MP;44.790756/-0.611779;15;rue Naudet;33175;GRADIGNAN;308;Salle informatique;308
8;GRADIGNAN;5;ROCQUENCOURT;E09A;Bâtiment 9A INFO/HSE;44.791138/-0.608712;15;rue Naudet;33175;GRADIGNAN;309;Salle informatique;
5;BORDEAUX ;24;LA VICTOIRE;AE;Bâtiment AE;44.831316/-0.570209;3 ter;place de la Victoire;33076;BORDEAUX;309;Salle de cours;
15;PERIGUEUX;22;CAMPUS PERIGORD;B;Bâtiment B;45.196442/0.720017;39;rue Paul Mazy;24019;PERIGUEUX;310;Salle informatique;
17;TALENCE;1;PEIXOTTO;A21;Bâtiment A21;44.806464/-0.597934;351;cours de la libération;33405;TALENCE;310;Salle de cours;311
5;BORDEAUX ;24;LA VICTOIRE;AE;Bâtiment AE;44.831316/-0.570209;3 ter;place de la Victoire;33076;BORDEAUX;310;Salle de cours;
5;BORDEAUX ;23;CARREIRE;218;Pharma 1;44.826435/-0.605938;146;Léo Saignat;33076;BORDEAUX;311;Salle TP;
8;GRADIGNAN;5;ROCQUENCOURT;E09A;Bâtiment 9A INFO/HSE;44.791138/-0.608712;15;rue Naudet;33175;GRADIGNAN;311;Salle informatique;
5;BORDEAUX ;24;LA VICTOIRE;AE;Bâtiment AE;44.831316/-0.570209;3 ter;place de la Victoire;33076;BORDEAUX;311;Amphithéâtre;
16;PESSAC;5;ROCQUENCOURT;R1;STAPS;44.793387/-0.614536;12;avenue Camille Jullian;33600;PESSAC;312;Salle TP;
